time,open,high,low,close,Volume
2026-05-11T00:17:00-05:00,29330.25,29338,29330.25,29336.25,60
2026-05-11T00:18:00-05:00,29336.5,29344.75,29335.25,29344.75,127
2026-05-11T00:19:00-05:00,29343.75,29347,29340.5,29342.75,191
2026-05-11T00:20:00-05:00,29341.75,29347.75,29341.25,29345,50
2026-05-11T00:21:00-05:00,29345.75,29346,29339.25,29342.25,75
2026-05-11T00:22:00-05:00,29340.25,29346,29340.25,29345,45
2026-05-11T00:23:00-05:00,29345.5,29356.25,29345.5,29350.75,249
2026-05-11T00:24:00-05:00,29349.75,29349.75,29338,29343,242
2026-05-11T00:25:00-05:00,29342.5,29343.75,29331.5,29337.5,260
2026-05-11T00:26:00-05:00,29338,29342.25,29334,29341.75,111
2026-05-11T00:27:00-05:00,29342.5,29344.5,29337.5,29340.5,104
2026-05-11T00:28:00-05:00,29341.25,29346.25,29341.25,29342.75,39
2026-05-11T00:29:00-05:00,29342.75,29344,29337.75,29342.25,40
2026-05-11T00:30:00-05:00,29342,29344.25,29340.5,29342.75,23
2026-05-11T00:31:00-05:00,29342,29348.25,29342,29345.75,67
2026-05-11T00:32:00-05:00,29345,29345.25,29342.25,29344.5,34
2026-05-11T00:33:00-05:00,29345,29346.75,29345,29345.5,17
2026-05-11T00:34:00-05:00,29345.25,29350.75,29345.25,29350.25,90
2026-05-11T00:35:00-05:00,29351.25,29353.25,29347.75,29352.75,107
2026-05-11T00:36:00-05:00,29351,29351.75,29343.5,29345.5,240
2026-05-11T00:37:00-05:00,29346.5,29347.75,29344.5,29346.25,55
2026-05-11T00:38:00-05:00,29346.5,29347,29336.5,29339.25,201
2026-05-11T00:39:00-05:00,29340,29340.25,29333.25,29337.5,81
2026-05-11T00:40:00-05:00,29338.5,29340.75,29331.75,29340.5,86
2026-05-11T00:41:00-05:00,29340.75,29342,29338,29340,49
2026-05-11T00:42:00-05:00,29340,29340,29337.25,29337.75,25
2026-05-11T00:43:00-05:00,29337,29337,29327.75,29330,121
2026-05-11T00:44:00-05:00,29329.5,29330.75,29318.25,29322.25,167
2026-05-11T00:45:00-05:00,29319.75,29323.5,29317.5,29321.75,100
2026-05-11T00:46:00-05:00,29322.75,29327.25,29318.5,29319.25,124
2026-05-11T00:47:00-05:00,29321,29328,29320.5,29322.5,65
2026-05-11T00:48:00-05:00,29322.5,29327,29321.5,29323.75,75
2026-05-11T00:49:00-05:00,29324,29329.25,29324,29326.75,25
2026-05-11T00:50:00-05:00,29327,29332,29326.25,29328,99
2026-05-11T00:51:00-05:00,29329,29332.75,29325.5,29326.25,70
2026-05-11T00:52:00-05:00,29326.25,29328.25,29325.5,29327.5,56
2026-05-11T00:53:00-05:00,29329.25,29330.5,29326.75,29328.25,71
2026-05-11T00:54:00-05:00,29328.75,29329.5,29326.5,29329.25,31
2026-05-11T00:55:00-05:00,29328.75,29331.75,29327.25,29330.75,28
2026-05-11T00:56:00-05:00,29331.5,29331.5,29328,29328.25,43
2026-05-11T00:57:00-05:00,29330.25,29331.5,29330,29331.5,21
2026-05-11T00:58:00-05:00,29331.75,29332.25,29330.25,29332,23
2026-05-11T00:59:00-05:00,29331,29333,29321.75,29321.75,148
2026-05-11T01:00:00-05:00,29321.5,29327,29320.5,29327,107
2026-05-11T01:01:00-05:00,29327,29327,29322.25,29324.75,38
2026-05-11T01:02:00-05:00,29326.5,29329,29323.5,29326,44
2026-05-11T01:03:00-05:00,29325.25,29326,29320.75,29325,46
2026-05-11T01:04:00-05:00,29325.75,29328.75,29323.5,29326.5,75
2026-05-11T01:05:00-05:00,29327,29327.5,29324,29327.5,41
2026-05-11T01:06:00-05:00,29328.5,29328.5,29326,29328,41
2026-05-11T01:07:00-05:00,29327.25,29335.5,29327.25,29335.25,70
2026-05-11T01:08:00-05:00,29334.5,29337.75,29334.5,29336.5,96
2026-05-11T01:09:00-05:00,29337,29337,29332.25,29332.5,68
2026-05-11T01:10:00-05:00,29334.25,29341,29334,29340.25,147
2026-05-11T01:11:00-05:00,29340.5,29345.75,29337.5,29340.5,156
2026-05-11T01:12:00-05:00,29341,29343.5,29338.25,29343.25,41
2026-05-11T01:13:00-05:00,29343.25,29343.25,29340.75,29342,31
2026-05-11T01:14:00-05:00,29341,29341.75,29338,29338.5,52
2026-05-11T01:15:00-05:00,29338.75,29338.75,29335,29336.75,70
2026-05-11T01:16:00-05:00,29336.5,29336.5,29330.75,29332.75,49
2026-05-11T01:17:00-05:00,29333.75,29334.5,29331.5,29332.5,26
2026-05-11T01:18:00-05:00,29331.75,29331.75,29323.25,29326.25,121
2026-05-11T01:19:00-05:00,29326,29330.5,29323.75,29330,73
2026-05-11T01:20:00-05:00,29330,29341.5,29328.5,29340.75,193
2026-05-11T01:21:00-05:00,29340.75,29342.75,29339.75,29341.5,129
2026-05-11T01:22:00-05:00,29341.5,29347.5,29341.25,29343,94
2026-05-11T01:23:00-05:00,29343.25,29345.25,29341.75,29342.5,37
2026-05-11T01:24:00-05:00,29342,29348.75,29340.75,29346.5,81
2026-05-11T01:25:00-05:00,29347.5,29350,29344.5,29350,51
2026-05-11T01:26:00-05:00,29350,29353,29347.5,29350.75,114
2026-05-11T01:27:00-05:00,29352,29354,29342.5,29342.5,241
2026-05-11T01:28:00-05:00,29343.25,29346.5,29340,29344.75,152
2026-05-11T01:29:00-05:00,29344.25,29345.75,29342.25,29345.75,43
2026-05-11T01:30:00-05:00,29343.75,29348.25,29340.5,29347,134
2026-05-11T01:31:00-05:00,29347.75,29347.75,29340.5,29340.5,72
2026-05-11T01:32:00-05:00,29340.5,29342,29338.25,29339.75,95
2026-05-11T01:33:00-05:00,29339,29341.25,29337.5,29340.25,50
2026-05-11T01:34:00-05:00,29338.75,29338.75,29321.25,29329.25,357
2026-05-11T01:35:00-05:00,29329.25,29329.5,29326.75,29328.25,45
2026-05-11T01:36:00-05:00,29329.5,29330.25,29325,29325.75,33
2026-05-11T01:37:00-05:00,29326.5,29326.75,29319.25,29321.75,102
2026-05-11T01:38:00-05:00,29320.25,29323.5,29316.25,29323,99
2026-05-11T01:39:00-05:00,29323.25,29326.25,29322,29322.75,38
2026-05-11T01:40:00-05:00,29323.25,29323.25,29319.5,29322.75,68
2026-05-11T01:41:00-05:00,29321,29322.5,29317.5,29318.75,38
2026-05-11T01:42:00-05:00,29318.5,29318.5,29311.25,29313,116
2026-05-11T01:43:00-05:00,29313.25,29316,29311.75,29313.5,60
2026-05-11T01:44:00-05:00,29313.75,29321,29313.5,29316.5,161
2026-05-11T01:45:00-05:00,29315.75,29316.25,29308.25,29308.25,225
2026-05-11T01:46:00-05:00,29308.75,29309.25,29304.25,29308.75,140
2026-05-11T01:47:00-05:00,29309.25,29311.75,29305.5,29306.25,100
2026-05-11T01:48:00-05:00,29306,29311,29302,29310.75,193
2026-05-11T01:49:00-05:00,29310,29311.25,29304,29304,76
2026-05-11T01:50:00-05:00,29306,29308.25,29301.5,29302.75,99
2026-05-11T01:51:00-05:00,29302,29307.5,29300.25,29305,77
2026-05-11T01:52:00-05:00,29305,29311,29304.75,29311,43
2026-05-11T01:53:00-05:00,29310.5,29315.75,29310.25,29314,166
2026-05-11T01:54:00-05:00,29314.25,29315.5,29309.25,29313.25,65
2026-05-11T01:55:00-05:00,29314.25,29320.25,29312.5,29320.25,114
2026-05-11T01:56:00-05:00,29319.25,29321,29317.25,29320.25,91
2026-05-11T01:57:00-05:00,29320,29325,29320,29321,59
2026-05-11T01:58:00-05:00,29320.75,29325.5,29320.25,29322.5,119
2026-05-11T01:59:00-05:00,29323.25,29325,29320.5,29321.5,77
2026-05-11T02:00:00-05:00,29322,29325.75,29314.75,29315,279
2026-05-11T02:01:00-05:00,29314.75,29317,29310.25,29317,127
2026-05-11T02:02:00-05:00,29318,29319,29313.75,29316,111
2026-05-11T02:03:00-05:00,29316.25,29319.5,29313.25,29314.5,162
2026-05-11T02:04:00-05:00,29314,29323,29312,29321.25,100
2026-05-11T02:05:00-05:00,29319.75,29321.25,29314.5,29316.75,117
2026-05-11T02:06:00-05:00,29320,29324.75,29310,29313,125
2026-05-11T02:07:00-05:00,29313,29317.75,29309.75,29311.5,118
2026-05-11T02:08:00-05:00,29312,29312,29305,29307.75,159
2026-05-11T02:09:00-05:00,29307.25,29309.25,29301,29302.75,115
2026-05-11T02:10:00-05:00,29302.5,29306.75,29299,29306.5,171
2026-05-11T02:11:00-05:00,29305.75,29309.75,29300.75,29302,109
2026-05-11T02:12:00-05:00,29302.5,29310.25,29300.75,29304.5,148
2026-05-11T02:13:00-05:00,29304.75,29306.5,29301.25,29305,97
2026-05-11T02:14:00-05:00,29305,29309.25,29296,29298.25,107
2026-05-11T02:15:00-05:00,29299,29305.25,29298.75,29303.25,74
2026-05-11T02:16:00-05:00,29302.5,29302.5,29290,29295.75,218
2026-05-11T02:17:00-05:00,29296.5,29298.5,29289.25,29289.25,122
2026-05-11T02:18:00-05:00,29289,29293.75,29287.5,29291.25,119
2026-05-11T02:19:00-05:00,29292,29295,29290.25,29293.5,111
2026-05-11T02:20:00-05:00,29293.75,29298.75,29291.75,29297.75,76
2026-05-11T02:21:00-05:00,29297,29303.5,29292.75,29302.5,118
2026-05-11T02:22:00-05:00,29304.25,29307.25,29303.25,29303.75,91
2026-05-11T02:23:00-05:00,29303.75,29310.5,29301.25,29307.75,76
2026-05-11T02:24:00-05:00,29308,29313.5,29305,29312.5,136
2026-05-11T02:25:00-05:00,29312.25,29317,29311.25,29316.25,71
2026-05-11T02:26:00-05:00,29316.5,29317.5,29313,29315,65
2026-05-11T02:27:00-05:00,29316,29322.25,29310.75,29312.5,135
2026-05-11T02:28:00-05:00,29313.75,29318,29308,29308,114
2026-05-11T02:29:00-05:00,29307.25,29313.75,29305.25,29311.75,134
2026-05-11T02:30:00-05:00,29312.75,29318,29309.5,29310,120
2026-05-11T02:31:00-05:00,29312,29316.5,29311.5,29315.25,65
2026-05-11T02:32:00-05:00,29314.75,29315,29311.5,29313,37
2026-05-11T02:33:00-05:00,29312,29312,29302.5,29308.5,116
2026-05-11T02:34:00-05:00,29306.75,29310.25,29302.5,29307.75,130
2026-05-11T02:35:00-05:00,29308.25,29308.25,29303,29306,94
2026-05-11T02:36:00-05:00,29306.25,29306.75,29300,29301.5,77
2026-05-11T02:37:00-05:00,29300.75,29309,29300.75,29307.5,153
2026-05-11T02:38:00-05:00,29307.5,29309.25,29304.75,29308.5,51
2026-05-11T02:39:00-05:00,29307.5,29312.25,29307.5,29312.25,68
2026-05-11T02:40:00-05:00,29312.25,29316.5,29312,29316.25,63
2026-05-11T02:41:00-05:00,29314.5,29330,29311.75,29321.5,382
2026-05-11T02:42:00-05:00,29321.25,29322,29315.25,29319,60
2026-05-11T02:43:00-05:00,29317.75,29317.75,29313.75,29315.75,45
